Term,Category,Notes
Kroger,Grocery,
CVS,Drug Store,
Walgreens,Drug Store,
Speedway,Gas Station,
Circle K,Gas Station,
Big Lots,Superstore,
Senior Nutrition,unsure,
Convenience Plus One,Convenience,
Lotsa Pasta,Specialty Grocery,
Rainbow Blossom,Grocery,
Whole Foods,Grocery,
Family Dollar,Dollar,
Walmart,Supercenter,
World Market,Specialty Grocery,
Paul's Fruit Market,Grocery,
Wine Rack,unsure,
Target,Supercenter,
Trader Joe's,Grocery,
Meijer,Grocery,
Costco,Bulk Store,
Fresh Market,Grocery,
Cox's,Liquor Store,
Valu Market,Grocery,
Supermercado Guanajuato,Grocery,
Crossroads,Grocery,"Both ""Crossroads IGA"" and ""IGA Crossroads"""
Cash Savers,Grocery,
Gordon Food Service,Grocery,
El Mercado,Grocery,
Sam's Club,Bulk Store,
Super USA,Gas station,
Genji Sushi,exclude,In Whole Foods
Lori's Fish Market,Specialty,
Red Hog,Specialty,
Ntaba Coffe Haus,Restaurant,
Eat Your Bourbon Marketplace,Retail,
HILTON GARDEN INN,exclude,
FARM STORE,Grocery,
HAMPTON INN,exclude,
RESIDENCE INN,exclude,
COURTYARD BY MARRIOTT,exclude,
BUTCHERS BEST MEATS & DELI,Specialty,
SAV-A-STEP,Liquor,
STAR FOOD MART,Gas Station,
TIENDA MEXICANA GUANAJUATO,Grocery,
NORTON BROWNSBORO HOSPITAL,exclude,
TORTILLERIA GUANAJUATO,exclude,Contained in TIENDA MEXICANA GUANAJUATO
ANAR FOOD MART,Grocery,
FIVE POINTS FOOD MART,Gas Station,
DRURY INN & SUITES,exclude,
Aloft Louisville,exclude,
Santam,Gas Station,
INDIAN BAZAAR,Grocery,
FAIRFIELD INN & SUITES TOWNEPLACE SUITES,exclude,
MERCATO ITALIANO,Specialty,
Shell,Gas Station,
Liquor Barn,Liquor Store,
HONEY BAKED HAM,Specialty,
GARDEN GATE FRUIT MARKET,Specialty,
CRACKER BARREL,Restaurant,
MI PREFERIDA,Grocery,
STARBUCKS,Restaurant,
Healthy James,Specialty,
SENEGAMBIA INTERNATIONAL RESTAURANT,Restaurant,
BADER'S FOOD MART,Gas Station,
BP,Gas Station,
"AH, WHATTA'BOUT MIMI",exclude,Gift shop
EVAN WILLIAMS WHISKEY ROW TASTING ROOMS,exclude,Bar
Valero,Gas Station,
COPPER AND KINGS,Bar,
LOUISVILLE CREAM,Restaurant,
QUILLS COFFEE,exclude,
BUTCHERTOWN GROCERY BAKERY,Restaurant,
BROADWAY FOOD MART,Grocery,
F&Y SUPERMARKET,Gas Station,
CORNER MARKET,Convenience,
BETTERWAY DELI - #4,Gas Station,
HAYWOOD DAIRY STORE,Specialty,
KADER'S MARKET,Convenience,
SHORTY'S,Gas Station,
GRAB N GO,Gas Station,
Boone's,Gas Station,
DINO'S,Gas Station,
ALI'S FOOD MART,Convenience,
KRISPY KREME,Restaurant,
BROADWAY MEAT MARKET,Grocery,
SAFARI INTERNATIONAL GROCERY STORE,Grocery,
GALAN'S MEAT MARKET & DELI,Specialty,
LUCY MAE'S FOOD MART,Convenience,
TOP NOTCH,Gas Station,
PACMAN FOODMART,Convenience,
B&S FOOD MART,Convenience,
